hello,:-)!,Time,Interval:,1480562138.13259,Running,Time:,0,,,,,,,,,,,,,,,,,,,,,,Average Interval,Std Dev,Variance,Max,Min
[(198,,39,,15,,21,,4.7258896828,,1.6957665682,,1.9022217989,,-0.0022377265,,-0.0018148908,,0.0031489744,,0.9999914169311523)],Time,Interval:,0.009859,Running,Time:,5.484511,,,,,,,
[(207,,39,,15,,21,,4.725754261,,1.6956928968,,1.902233243,,-0.0022941057,,-0.0017744527,,0.0029537524,,0.9999907612800598)],Time,Interval:,0.009828,Running,Time:,1.250844,,,,,,,
[(215,,39,,15,,21,,4.7258543968,,1.6957249641,,1.9022068977,,-0.0022486621,,-0.0019754141,,0.0030585187,,0.999991238117218)],Time,Interval:,0.009827,Running,Time:,10.017999,,,,,,,
[(223,,39,,15,,21,,4.725877285,,1.6957498789,,1.9022349119,,-0.0023788766,,-0.0017654547,,0.0030457645,,0.9999910593032837)],Time,Interval:,0.009817,Running,Time:,10.76826,,,,,,,
[(232,,39,,15,,21,,4.7258954048,,1.6957645416,,1.9022330046,,-0.0022752366,,-0.0019014595,,0.0031560231,,0.9999907612800598)],Time,Interval:,0.009806,Running,Time:,8.584637,,,,,,,
[(240,,39,,15,,21,,4.7258458138,,1.6957663298,,1.9022296667,,-0.0022248302,,-0.0018996485,,0.0031019854,,0.999990701675415)],Time,Interval:,0.009801,Running,Time:,4.201313,,,,,,,
[(248,,39,,15,,21,,4.725894928,,1.6957463026,,1.9022221565,,-0.0022640412,,-0.0019219511,,0.0031647345,,0.9999909400939941)],Time,Interval:,0.009796,Running,Time:,2.31808,,,,,,,
[(257,,39,,15,,21,,4.7258901596,,1.695753336,,1.9022321701,,-0.0023852729,,-0.0017814632,,0.0030437997,,0.9999912977218628)],Time,Interval:,0.009796,Running,Time:,10.618479,,,,,,,
[(265,,39,,15,,21,,4.7259860039,,1.6957556009,,1.9022654295,,-0.0021958058,,-0.0019510064,,0.0030077295,,0.9999920725822449)],Time,Interval:,0.009796,Running,Time:,16.700735,,,,,,,
[(273,,39,,15,,21,,4.7259073257,,1.6957770586,,1.9022221565,,-0.0022354294,,-0.0018402613,,0.0030279628,,0.9999910593032837)],Time,Interval:,0.009795,Running,Time:,7.301605,,,,,,,
[(282,,39,,15,,21,,4.7258586884,,1.6957631111,,1.9022132158,,-0.0022813205,,-0.0019424608,,0.0031930718,,0.9999906420707703)],Time,Interval:,0.009786,Running,Time:,14.167652,,,,,,,
[(290,,39,,15,,21,,4.7259645462,,1.6957474947,,1.9022750854,,-0.002332591,,-0.0017891591,,0.0030250365,,0.999991238117218)],Time,Interval:,0.009777,Running,Time:,8.601188,,,,,,,
[(298,,39,,15,,21,,4.7258963585,,1.6957775354,,1.9022372961,,-0.0023588943,,-0.0016858825,,0.0030099652,,0.9999907612800598)],Time,Interval:,0.009776,Running,Time:,2.60085,,,,,,,
[(307,,39,,15,,21,,4.7258973122,,1.6957525015,,1.9022165537,,-0.0022280496,,-0.0019231128,,0.0030744032,,0.9999910593032837)],Time,Interval:,0.00977,Running,Time:,7.80133,,,,,,,
[(315,,39,,15,,21,,4.7258610725,,1.695775032,,1.9022392035,,-0.002039616,,-0.001800064,,0.0029110219,,0.999990701675415)],Time,Interval:,0.009756,Running,Time:,7.818383,,,,,,,
[(323,,39,,15,,21,,4.7258086205,,1.6957373619,,1.9022351503,,-0.0022294126,,-0.0019385704,,0.0030630194,,0.9999908208847046)],Time,Interval:,0.009754,Running,Time:,8.884499,,,,,,,
[(331,,39,,15,,21,,4.7258563042,,1.6957463026,,1.9022196531,,-0.0023679284,,-0.0018341285,,0.003033329,,0.9999909996986389)],Time,Interval:,0.009747,Running,Time:,7.318394,,,,,,,
[(340,,39,,15,,21,,4.7258729935,,1.6957615614,,1.9022210836,,-0.0022342235,,-0.0018529013,,0.0030624694,,0.9999912977218628)],Time,Interval:,0.009742,Running,Time:,2.034395,,,,,,,
[(348,,39,,15,,21,,4.7258787155,,1.6957708597,,1.9022569656,,-0.0023220454,,-0.0017613503,,0.0029899492,,0.9999910593032837)],Time,Interval:,0.00974,Running,Time:,10.751568,,,,,,,
[(357,,39,,15,,21,,4.7258687019,,1.6957690716,,1.9022060633,,-0.0023158935,,-0.0019726919,,0.0031191139,,0.9999911785125732)],Time,Interval:,0.009733,Running,Time:,10.218056,,,,,,,
[(365,,39,,15,,21,,4.7258396149,,1.6957581043,,1.9022551775,,-0.0022453601,,-0.0019529539,,0.0031373973,,0.9999909996986389)],Time,Interval:,0.009728,Running,Time:,8.392591,,,,,,,
[(373,,39,,15,,21,,4.725903511,,1.6957950592,,1.9022264481,,-0.0022024927,,-0.0019707258,,0.0029103747,,0.9999905824661255)],Time,Interval:,0.009722,Running,Time:,8.617951,,,,,,,
[(382,,39,,15,,21,,4.7259607315,,1.6957281828,,1.902261138,,-0.0022532069,,-0.001828275,,0.0032132852,,0.9999904632568359)],Time,Interval:,0.009717,Running,Time:,3.934624,,,,,,,
[(390,,39,,15,,21,,4.7258939743,,1.6957505941,,1.9022212029,,-0.0022575064,,-0.002067379,,0.0031246596,,0.9999911189079285)],Time,Interval:,0.009712,Running,Time:,8.485336,,,,,,,
[(398,,39,,15,,21,,4.7258477211,,1.695776701,,1.9022248983,,-0.0022719689,,-0.0019652082,,0.0031348225,,0.9999902248382568)],Time,Interval:,0.009709,Running,Time:,7.950786,,,,,,,
[(406,,39,,15,,21,,4.7257885933,,1.6957534552,,1.9022279978,,-0.0021836457,,-0.0019747433,,0.0029170942,,0.9999904632568359)],Time,Interval:,0.009699,Running,Time:,0.951372,,,,,,,
[(415,,39,,15,,21,,4.7258610725,,1.6957890987,,1.9022288322,,-0.0022335432,,-0.0019325375,,0.00303617,,0.999991774559021)],Time,Interval:,0.009688,Running,Time:,0.501329,,,,,,,
[(423,,39,,15,,21,,4.7258439064,,1.6957672834,,1.9022278786,,-0.002200132,,-0.001966313,,0.0029915611,,0.9999904036521912)],Time,Interval:,0.009672,Running,Time:,13.559783,,,,,,,
[(432,,39,,15,,21,,4.725894928,,1.6957646608,,1.9022593498,,-0.0023377661,,-0.0017240488,,0.0029588381,,0.9999911785125732)],Time,Interval:,0.009665,Running,Time:,7.042982,,,,,,,
[(440,,39,,15,,21,,4.7258524895,,1.6957814693,,1.9022145271,,-0.0022386927,,-0.0019629593,,0.0030420141,,0.9999907612800598)],Time,Interval:,0.009663,Running,Time:,7.26797,,,,,,,
[(448,,39,,15,,21,,4.7258892059,,1.6957411766,,1.9022277594,,-0.0022183298,,-0.0019313013,,0.0031129895,,0.9999909996986389)],Time,Interval:,0.00966,Running,Time:,10.118074,,,,,,,
[(456,,39,,15,,21,,4.7259607315,,1.6957513094,,1.9022752047,,-0.0023121303,,-0.0017152446,,0.0029397528,,0.9999911189079285)],Time,Interval:,0.009655,Running,Time:,10.434869,,,,,,,
[(466,,39,,15,,21,,4.7258892059,,1.6957736015,,1.9022377729,,-0.0022639849,,-0.0019992967,,0.0030935977,,0.9999904632568359)],Time,Interval:,0.009636,Running,Time:,6.201594,,,,,,,
[(474,,39,,15,,21,,4.7257757187,,1.6956474781,,1.9022511244,,-0.0022686969,,-0.0020071852,,0.0031258557,,0.9999907612800598)],Time,Interval:,0.009636,Running,Time:,16.350836,,,,,,,
[(482,,39,,15,,21,,4.725962162,,1.6957622766,,1.9022535086,,-0.0022443603,,-0.0019481267,,0.0030619437,,0.9999908804893494)],Time,Interval:,0.009624,Running,Time:,0.010301,,,,,,,
[(490,,39,,15,,21,,4.7258477211,,1.6957585812,,1.9022436142,,-0.0021992077,,-0.0018645832,,0.0031163536,,0.9999911189079285)],Time,Interval:,0.009594,Running,Time:,1.059116,,,,,,,
[(499,,39,,15,,21,,4.7259187698,,1.6957235336,,1.9022456408,,-0.0022816688,,-0.001973832,,0.0031431289,,0.999990701675415)],Time,Interval:,0.009584,Running,Time:,3.001368,,,,,,,
[(509,,39,,15,,21,,4.725897789,,1.6957477331,,1.9022510052,,-0.0023386115,,-0.0018339007,,0.0029827964,,0.9999907612800598)],Time,Interval:,0.009581,Running,Time:,8.634023,,,,,,,
[(515,,39,,15,,21,,4.7258734703,,1.6956443787,,1.9022535086,,-0.0022151202,,-0.0018651312,,0.0031355415,,0.9999909400939941)],Time,Interval:,0.009568,Running,Time:,11.650708,,,,,,,
[(523,,39,,15,,21,,4.7258634567,,1.6956039667,,1.9022821188,,-0.0022442443,,-0.0018822195,,0.0031292504,,0.9999906420707703)],Time,Interval:,0.009566,Running,Time:,1.417984,,,,,,,
[(533,,39,,15,,21,,4.7258963585,,1.6957663298,,1.9022375345,,-0.0022662783,,-0.0019446523,,0.0031966495,,0.9999901056289673)],Time,Interval:,0.009564,Running,Time:,2.917517,,,,,,,
[(540,,39,,15,,21,,4.7259397507,,1.6957783699,,1.9022568464,,-0.0022526295,,-0.0018720981,,0.0030849287,,0.9999919533729553)],Time,Interval:,0.009563,Running,Time:,10.267496,,,,,,,
[(549,,39,,15,,21,,4.7258906364,,1.6956367493,,1.9022721052,,-0.0022211608,,-0.0018642844,,0.0030995237,,0.9999909400939941)],Time,Interval:,0.009549,Running,Time:,8.118178,,,,,,,
[(556,,39,,15,,21,,4.7259016037,,1.6957483292,,1.9022415876,,-0.0022102003,,-0.0020009261,,0.0030232531,,0.9999908804893494)],Time,Interval:,0.009532,Running,Time:,5.75167,,,,,,,
[(565,,39,,15,,21,,4.7258057594,,1.6957556009,,1.9022411108,,-0.0022782863,,-0.0020393904,,0.0030687379,,0.999990701675415)],Time,Interval:,0.00953,Running,Time:,6.501206,,,,,,,
[(573,,39,,15,,21,,4.7258706093,,1.6957681179,,1.9022370577,,-0.0022831163,,-0.0019657346,,0.0032134762,,0.999991238117218)],Time,Interval:,0.00953,Running,Time:,10.492794,,,,,,,
[(582,,39,,15,,21,,4.7258358002,,1.6957609653,,1.9022216797,,-0.0023501155,,-0.0017900926,,0.0029265266,,0.999990701675415)],Time,Interval:,0.009517,Running,Time:,0.88387,,,,,,,
[(590,,39,,15,,21,,4.725789547,,1.6957460642,,1.902220726,,-0.0023941281,,-0.001956529,,0.0030278715,,0.9999907612800598)],Time,Interval:,0.009516,Running,Time:,10.801177,,,,,,,
[(598,,39,,15,,21,,4.7259540558,,1.6957583427,,1.9022408724,,-0.0024340327,,-0.001751769,,0.0030971882,,0.9999909400939941)],Time,Interval:,0.009515,Running,Time:,14.551159,,,,,,,
[(607,,39,,15,,21,,4.7259073257,,1.695786953,,1.9022372961,,-0.0021996954,,-0.0019570016,,0.0029508369,,0.9999906420707703)],Time,Interval:,0.009501,Running,Time:,4.350755,,,,,,,
[(615,,39,,15,,21,,4.7259030342,,1.695759058,,1.9022314548,,-0.0022661837,,-0.0019707982,,0.0030875318,,0.9999908804893494)],Time,Interval:,0.009498,Running,Time:,4.025707,,,,,,,
[(624,,39,,15,,21,,4.7258758545,,1.6957722902,,1.9022403955,,-0.0022624182,,-0.0019074896,,0.0030783652,,0.9999911189079285)],Time,Interval:,0.009492,Running,Time:,2.53434,,,,,,,
[(631,,39,,15,,21,,4.7259268761,,1.6957520247,,1.9022740126,,-0.002359252,,-0.0016791137,,0.0029881666,,0.999991238117218)],Time,Interval:,0.009485,Running,Time:,5.626695,,,,,,,
[(640,,39,,15,,21,,4.7258000374,,1.6957583427,,1.9022140503,,-0.0021954381,,-0.0018835356,,0.0030677321,,0.999991238117218)],Time,Interval:,0.009454,Running,Time:,13.059646,,,,,,,
