hello :-)!	Time Interval: 1479086849.711410	Running Time: 0.000000
[(0.18501298129558563,), (2.1408138275146484,), (1.717446208000183,)]	Time Interval: 0.007229	Running Time: 1.672633
[(0.185703843832016,), (2.1404788494110107,), (1.7174036502838135,)]	Time Interval: 0.008460	Running Time: 1.681093
[(0.1850488930940628,), (2.1404669284820557,), (1.7175354957580566,)]	Time Interval: 0.007927	Running Time: 1.689020
[(0.18631130456924438,), (2.140512466430664,), (1.7182896137237549,)]	Time Interval: 0.008713	Running Time: 1.697733
[(0.18466199934482574,), (2.1407554149627686,), (1.7173173427581787,)]	Time Interval: 0.008413	Running Time: 1.706146
[(0.18528896570205688,), (2.140800952911377,), (1.7175800800323486,)]	Time Interval: 0.008059	Running Time: 1.714205
[(0.1857910305261612,), (2.1406097412109375,), (1.7176779508590698,)]	Time Interval: 0.008558	Running Time: 1.722763
[(0.18534748256206512,), (2.1403415203094482,), (1.7173237800598145,)]	Time Interval: 0.009101	Running Time: 1.731864
[(0.18504321575164795,), (2.1407699584960938,), (1.7176933288574219,)]	Time Interval: 0.007967	Running Time: 1.739831
[(0.18542636930942535,), (2.1402642726898193,), (1.7168331146240234,)]	Time Interval: 0.008377	Running Time: 1.748208
[(0.18545491993427277,), (2.1422641277313232,), (1.716863989830017,)]	Time Interval: 0.007668	Running Time: 1.755876
[(0.18545499444007874,), (2.142254114151001,), (1.7168234586715698,)]	Time Interval: 0.009404	Running Time: 1.765280
[(0.185431569814682,), (2.142259359359741,), (1.7180081605911255,)]	Time Interval: 0.007247	Running Time: 1.772527
[(0.18517905473709106,), (2.1400694847106934,), (1.7176929712295532,)]	Time Interval: 0.008835	Running Time: 1.781362
[(0.1852150708436966,), (2.1401963233947754,), (1.6296347379684448,)]	Time Interval: 0.008815	Running Time: 1.790177
[(0.7684691548347473,)]	Time Interval: 0.001944	Running Time: 1.792121
[(1.6294422149658203,), (0.7689844369888306,)]	Time Interval: 0.005569	Running Time: 1.797690
[(1.6290385723114014,), (0.7684531807899475,)]	Time Interval: 0.008765	Running Time: 1.806455
[(1.6287648677825928,)]	Time Interval: 0.008030	Running Time: 1.814485
[(0.7686352729797363,)]	Time Interval: 0.000038	Running Time: 1.814523
[(1.6292176246643066,), (0.768646240234375,), (2.1558117866516113,)]	Time Interval: 0.008166	Running Time: 1.822689
[(1.6289750337600708,), (0.7687228918075562,), (2.155240774154663,)]	Time Interval: 0.008326	Running Time: 1.831015
[(1.6283284425735474,), (0.7686301469802856,), (2.154825448989868,)]	Time Interval: 0.008716	Running Time: 1.839731
[(1.6281687021255493,), (0.7694833278656006,), (2.154423713684082,)]	Time Interval: 0.008077	Running Time: 1.847808
[(1.6279444694519043,), (0.7693260908126831,), (2.153534173965454,)]	Time Interval: 0.008419	Running Time: 1.856227
[(1.627422571182251,), (0.7692868709564209,), (2.1526849269866943,)]	Time Interval: 0.008413	Running Time: 1.864640
[(1.6273759603500366,), (0.7692033648490906,), (2.151169776916504,)]	Time Interval: 0.007746	Running Time: 1.872386
