hello :-)!	Running Time: 0.000000
[(0.04530659690499306,), (0.035020940005779266,)]	Running Time: 2.748770
[(0.045079730451107025,), (0.035578783601522446,)]	Running Time: 2.756932
[(0.04515952989459038,), (0.03519336134195328,)]	Running Time: 2.766264
[(0.04509074240922928,), (0.03549300879240036,)]	Running Time: 2.773900
[(0.04508886858820915,), (0.03560078144073486,)]	Running Time: 2.781875
[(0.0451045036315918,), (0.035252101719379425,)]	Running Time: 2.791133
[(0.04476037621498108,), (0.036189768463373184,)]	Running Time: 2.799364
[(0.04513607546687126,), (0.03538381680846214,)]	Running Time: 2.807244
[(0.044779594987630844,), (0.03618544340133667,)]	Running Time: 2.815658
[(0.04514350742101669,), (0.035186510533094406,)]	Running Time: 2.823690
[(0.04514318332076073,), (0.03554573282599449,)]	Running Time: 2.832030
[(0.045092109590768814,), (0.035167042165994644,)]	Running Time: 2.840508
[(0.04515247046947479,), (0.0352475605905056,)]	Running Time: 2.848339
[(0.04477757215499878,), (0.03617715463042259,)]	Running Time: 2.857256
[(0.04507673904299736,), (0.035273581743240356,)]	Running Time: 2.865398
[(0.04478178173303604,), (0.036173705011606216,)]	Running Time: 2.873426
[(0.044670220464468,), (0.036213286221027374,)]	Running Time: 2.882180
[(0.04475920647382736,), (0.03618818148970604,)]	Running Time: 2.890824
[(0.04475078731775284,), (0.04477592930197716,)]	Running Time: 2.906943
[(0.03618399798870087,), (0.04478120431303978,)]	Running Time: 2.914998
[(0.036189742386341095,), (0.044769540429115295,)]	Running Time: 2.924359
[(0.036184947937726974,), (0.04472418874502182,)]	Running Time: 2.932048
[(0.03617096692323685,), (0.04510343447327614,)]	Running Time: 2.940123
[(0.035113830119371414,), (0.04509609937667847,)]	Running Time: 2.948680
[(0.03525710850954056,), (0.044708605855703354,)]	Running Time: 2.956946
[(0.036114651709795,), (0.04476133733987808,)]	Running Time: 2.964907
[(0.036189887672662735,), (0.04506325349211693,)]	Running Time: 2.973267
[(0.035524431616067886,), (0.045065466314554214,)]	Running Time: 2.983291
[(0.04514685273170471,), (0.03533939644694328,)]	Running Time: 2.990521
[(0.04513109475374222,), (0.035191502422094345,)]	Running Time: 2.998321
[(0.04555284604430199,), (0.035259779542684555,)]	Running Time: 3.007140
[(0.0451081246137619,), (0.03532075881958008,)]	Running Time: 3.015362
[(0.04477841779589653,), (0.036180946975946426,)]	Running Time: 3.023801
[(0.04477851837873459,), (0.03618490695953369,)]	Running Time: 3.031872
[(0.04515642300248146,), (0.03522457927465439,)]	Running Time: 3.041383
[(0.04504783824086189,), (0.03527543321251869,)]	Running Time: 3.048683
[(0.0451386459171772,), (0.03545396029949188,)]	Running Time: 3.056790
[(0.04477464780211449,), (0.03617003932595253,)]	Running Time: 3.064976
[(0.044762272387742996,), (0.036175359040498734,)]	Running Time: 3.073804
[(0.045088283717632294,), (0.03517867252230644,)]	Running Time: 3.081997
[(0.04511133208870888,), (0.03505930304527283,)]	Running Time: 3.090182
[(0.04514696076512337,), (0.035569123923778534,)]	Running Time: 3.099271
[(0.04477941244840622,), (0.03618650510907173,)]	Running Time: 3.107180
[(0.04510408639907837,), (0.03518640249967575,)]	Running Time: 3.115341
[(0.04521159455180168,), (0.03621417284011841,)]	Running Time: 3.123345
[(0.04509328305721283,), (0.03615623340010643,)]	Running Time: 3.132309
[(0.04512108117341995,), (0.036127522587776184,)]	Running Time: 3.140700
[(0.04532831907272339,), (0.035620804876089096,)]	Running Time: 3.148536
[(0.04515581205487251,), (0.03609051555395126,)]	Running Time: 3.156700
[(0.04529346898198128,), (0.035630885511636734,)]	Running Time: 3.165833
[(0.04524387791752815,), (0.035947222262620926,)]	Running Time: 3.173512
[(0.04505909979343414,), (0.03620007634162903,)]	Running Time: 3.181738
[(0.04510921239852905,), (0.03614002838730812,)]	Running Time: 3.190375
[(0.0450284481048584,), (0.036227159202098846,)]	Running Time: 3.198406
[(0.04505256190896034,), (0.036208659410476685,)]	Running Time: 3.206654
[(0.04532572999596596,), (0.03565676510334015,)]	Running Time: 3.214997
[(0.04524390399456024,), (0.03594878315925598,)]	Running Time: 3.223665
[(0.04519336670637131,), (0.036014124751091,)]	Running Time: 3.232438
[(0.04531178995966911,), (0.0354880727827549,)]	Running Time: 3.240015
[(0.04507488012313843,), (0.03628477826714516,)]	Running Time: 3.248270
